ship_1_x,ship_1_y,ship_1_u,ship_1_psi,ship_1_wp,ship_1_x_pred,ship_1_y_pred,colav_log,ship_2_x,ship_2_y,ship_2_u,ship_2_psi,ship_2_wp,ship_2_x_pred,ship_2_y_pred,time
275000.0,7044940.0,10.0,1.5707963267948966,"[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",275000.0,7044940.0,0.0,275000.0,7048000.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7054000, 5.0]]",275000.01852248795,7053754.980604124,0
275000.0,7044940.0,10.0,1.57,"[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",275000.0,7044940.0,0.0,275000.0,7048005.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7054000, 5.0]]",275000.01853799925,7053754.980604138,1
275000.0,7044950.0,10.0,1.57,"[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",275000.0,7044940.0,0.0,275000.0,7048010.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7054000, 5.0]]",275000.0185535392,7053754.980604152,2
275000.0,7044960.0,10.0,1.57,"[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",275000.0,7044940.0,0.0,275000.0,7048010.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7054000, 5.0]]",275000.0185535392,7053754.980604152,3
275000.0,7044960.0,10.0,1.57,"[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",275000.0,7044940.0,1.0,275000.0,7048015.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7054000, 5.0]]",275000.0185691047,7053754.980604166,4
275000.0,7044980.0,10.0,1.57,"[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",275000.0,7044940.0,0.0,275000.0,7048025.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7054000, 5.0]]",275000.0186003128,7053754.980604194,5
275000.0,7044990.0,10.0,1.57,"[[274912, 7045367, 10.0], [274412, 7045867, 10.0], [274412, 7054517, 10.0], [274962, 7055067, 10.0], [274962, 7057017, 10.0]]",275000.0,7044940.0,0.0,275000.0,7048030.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7054000, 5.0]]",275000.01861595537,7053754.980604208,6
275000.0,7045000.0,10.0,1.57,"[[274912, 7045367, 10.0], [274412, 7045867, 10.0], [274412, 7054517, 10.0], [274962, 7055067, 10.0], [274962, 7057017, 10.0]]",275000.0,7044940.0,0.0,275000.0,7048040.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7054000, 5.0]]",275000.01864732325,7053754.980603177,7
275000.0,7045010.0,10.0,1.57,"[[274912, 7045367, 10.0], [274412, 7045867, 10.0], [274412, 7054517, 10.0], [274962, 7055067, 10.0], [274962, 7057017, 10.0]]",275000.0,7044940.0,0.0,275000.0,7048040.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7054000, 5.0]]",275000.01864732325,7053754.980603177,8
275000.0,7045010.0,10.0,1.57,"[[274912, 7045367, 10.0], [274412, 7045867, 10.0], [274412, 7054517, 10.0], [274962, 7055067, 10.0], [274962, 7057017, 10.0]]",275000.0,7044940.0,0.0,275000.0,7048050.0,5.0,1.57,"[[275000, 7048000, 5.0], [275000, 7054000, 5.0]]",275000.0186787938,7053754.980603207,9
